"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"186","SMC01960","SMC01960_06/23/10_1",2010-06-23,0.589957346,0.560144189,-86,0.0808,0.6388,-26,NA,NA,NA,45.9586,-44,15.265,0,30,-2,0,-2.7181,-19
"187","SMC01987","SMC01987_2012-06-15 00:00:00_1",2012-06-15,0.514220839643251,0.785031609561746,-61.5,0.0045,-0.27325,15,1,2.4147,-28,65.7188,-13,8.989,0,35,115,0,0.1242,-41
"188","SMC01990","SMC01990_2014-07-08 00:00:00_1",2014-07-08,0.659924236003033,0.651847213487364,73,-1.47785,-0.7068,18.5,0,25.3468,-8,46.7764,-5.5,36.03455,-0.0037,46,75,-0.3129,-0.3945,-28
"189","SMC02028","SMC02028_2012-07-12 00:00:00_1",2012-07-12,0.34773255326792,0.358173393439078,-26,0.226,0.58855,-8,0,-0.538,-59,37.31185,-12.5,30.5507,0,14,26,-1.8504,-0.403,-22
"190","SMC02075","SMC02075_2012-07-17 00:00:00_1",2012-07-17,0.8336756118464,0.999390684881407,0,-0.0021,-0.003,0,NA,NA,NA,-0.0228,0,-0.0424,0,0,0,0.004,-0.00305,0
"191","SMC02088","SMC02088_06/14/11_1",2011-06-14,0.816082358,0.761473478,10,0.0267,0.1996,-44,1,9.3945,3,0.5702,-12,4.7083,-0.0492,-15,-51,0,0.2,-3
"192","SMC02092","SMC02092_06/14/11_1",2011-06-14,0.751231509,0.684919703,0,0,0,0,NA,NA,NA,1.4871,0,0.9965,0,0,0,0,0,-1
"193","SMC02139","SMC02139_2012-07-17 00:00:00_1",2012-07-17,1.09079649812355,1.18199038320799,0,-9e-04,-0.0013,0,NA,NA,NA,-0.012,0,-0.01795,0,0,0,0.00205,8e-04,0
"194","SMC02206","SMC02206_2011-07-19 00:00:00_1",2011-07-19,0.806456749914809,0.849710408752138,-20.5,0.0015,-0.06995,-9,-9,16.5902,-28,19.13635,-35.5,10.2717,0,34.5,52,-0.0215,-0.9965,-18.5
"195","SMC02228","SMC02228_2009-06-23 00:00:00_1",2009-06-23,0.464839630917287,0.44246799595323,-8,-8.8015,-15.8327,30.5,0,-2294.0366,-9,1371.7177,-4,1039.9178,-0.0271,-1,-25,-7.836,-27.1606,-6
"196","SMC02270","SMC02270_2010-06-30 00:00:00_1",2010-06-30,0.697881185666768,0.810442584332266,-5.5,0,0.0034,-16.5,NA,NA,NA,1.07175,-53.5,0.363,0.00025,40.5,31.5,0.01305,0.06645,15
"197","SMC02302","SMC02302_2013-07-15 00:00:00_1",2013-07-15,0.714033609066627,0.864519616601478,-7,0.00325,0.50245,15,NA,NA,NA,61.8867,-43,62.6623,0,43,64,0,-0.6756,-60
"198","SMC02436","SMC02436_2009-05-28 00:00:00_1",2009-05-28,0.686930175317786,0.602824034817076,194,-0.4578,-0.6757,-159,NA,NA,NA,273.6488,-85,164.5588,0,102,-42,5.9073,4.1647,16
